date,country,D,H,I,M,S
2021-06-12,Afghanistan,0,0,0,40,0
2021-06-12,Sweden,4,0,0,6,0
2021-06-12,Japan,14,0,0,110,0
2021-06-13,Afghanistan,0,0,0,40,0
2021-06-13,Sweden,4,0,0,6,0
2021-06-13,Japan,14,0,0,110,0
2021-06-14,Afghanistan,0,0,0,40,0
2021-06-14,Sweden,4,0,0,6,0
2021-06-14,Japan,14,0,0,110,0
2021-06-15,Afghanistan,0,0,0,40,0
2021-06-15,Sweden,4,0,0,6,0
2021-06-15,Japan,14,0,0,110,0
2021-06-16,Afghanistan,0,0,0,40,0
2021-06-16,Sweden,4,0,0,6,0
2021-06-16,Japan,14,0,0,110,0
2021-06-17,Afghanistan,0,0,0,40,0
2021-06-17,Sweden,4,0,0,6,0
2021-06-17,Japan,14,0,0,110,0
2021-06-18,Afghanistan,0,0,0,40,0
2021-06-18,Sweden,4,0,0,6,0
2021-06-18,Japan,14,0,0,110,0
2021-06-19,Afghanistan,0,0,0,40,0
2021-06-19,Sweden,4,0,0,6,0
2021-06-19,Japan,14,0,0,110,0
2021-06-20,Afghanistan,0,0,0,40,0
2021-06-20,Sweden,4,0,0,6,0
2021-06-20,Japan,14,0,0,110,0
2021-06-21,Afghanistan,0,0,0,40,0
2021-06-21,Sweden,4,0,0,6,0
2021-06-21,Japan,14,0,0,110,0
2021-06-22,Afghanistan,0,0,0,40,0
2021-06-22,Sweden,4,0,0,6,0
2021-06-22,Japan,14,0,0,110,0
2021-06-23,Afghanistan,0,0,0,40,0
2021-06-23,Sweden,4,0,0,6,0
2021-06-23,Japan,14,0,0,110,0
2021-06-24,Afghanistan,0,0,0,40,0
2021-06-24,Sweden,4,0,0,6,0
2021-06-24,Japan,14,0,0,110,0
2021-06-25,Afghanistan,0,0,0,40,0
2021-06-25,Sweden,4,0,0,6,0
2021-06-25,Japan,14,0,0,110,0
2021-06-26,Afghanistan,0,0,0,40,0
2021-06-26,Sweden,4,0,0,6,0
2021-06-26,Japan,14,0,0,110,0
2021-06-27,Afghanistan,0,0,0,40,0
2021-06-27,Sweden,4,0,0,6,0
2021-06-27,Japan,14,0,0,110,0
2021-06-28,Afghanistan,0,0,0,40,0
2021-06-28,Sweden,4,0,0,6,0
2021-06-28,Japan,14,0,0,110,0
